Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
260,Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,6,5,11,No,White,Male,39.9589,-76.0806
261,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",10/2/2006,6,5,10,Unknown,White American or European American,Male,40.04214385,-76.30100872
262,Duquesne University,"Pittsburgh, Pennsylvania",9/17/2006,0,5,5,Unknown,Black American or African American,Male,40.43948548,-79.97631581
263,Orange High School,"Hillsborough, North Carolina",8/30/2006,1,2,3,Yes,Unknown,Male,36.04099857,-79.09701201
264,Essex Elementary School,"Essex Junction, Vermont",8/24/2006,2,2,4,Yes,Black American or African American,Male,44.49022039,-73.11400628
265,Capitol Hill massacre,"Seattle, Washington",3/25/2006,7,2,9,No,White,Male,47.6229,-122.3165
266,"Party in Capitol Hill, Seattle","Seattle, Washington",3/25/2006,7,2,8,No,White American or European American,Male,47.62199575,-122.323646
267,Goleta postal shootings,"Goleta, California",1/30/2006,8,0,8,Yes,White,Female,34.436283,-119.8714406
268,Goleta Post Office,"Goleta, California",1/30/2006,8,0,7,Yes,White American or European American,Female,34.43606107,-119.8593619
269,Red Lake massacre,"Red Lake, Minnesota",3/21/2005,10,5,15,Yes,Native American,Male,47.876346,-95.0169401
270,Red Lake High School,"Red Lake, Minnesota",3/21/2005,10,5,14,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
271,Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,7,4,11,Yes,White,Male,43.0605671,-88.1064787
272,Living Church of God,"Brookfield, Wisconsin",3/12/2005,8,4,11,No,White American or European American,Male,43.06396691,-88.12299758
273,Tyler Courthouse,"Tyler, Texas",2/24/2005,3,4,6,Unknown,Unknown,Male,32.3154272,-95.30501087
274,Damageplan show shooting,"Columbus, Ohio",12/8/2004,5,7,12,Yes,White,Male,39.9622601,-83.0007065
275,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",12/8/2004,5,7,11,Yes,White American or European American,Male,39.98861445,-82.98904135
276,"Birchwood, Wisconsin","Birchwood, Wisconsin",11/21/2004,6,2,8,No,Asian American,Male,45.65773714,-91.55077175
277,Windy City Core Supply Warehouse,"Chicago, Illinois",8/27/2003,7,0,6,No,Unknown,Male,41.83928045,-87.68818145
278,Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,7,8,15,Yes,White,Male,32.376081,-88.68978002
279,Lockheed Martin,"Meridian, Mississippi",7/8/2003,7,8,14,No,White American or European American,Male,32.38455246,-88.68967949
280,Case Western Reserve University,"Cleveland, Ohio",5/9/2003,1,2,3,No,Asian American,Male,41.47657557,-81.68051502
281,University of Arizona College of Nursing,"Tucson, Arizona",10/28/2002,4,0,3,No,Unknown,Male,32.15358905,-110.9677647
282,Appalachian School of Law,"Grundy, Virginia",1/16/2002,3,3,6,No,Black American or African American,Male,37.27537712,-82.09877234
283,Santana High School,"Santee, San Diego, California",3/5/2001,2,13,15,No,White American or European American,Male,32.86357277,-117.1281628
284,Navistar shooting,"Melrose Park, Illinois",2/5/2001,5,4,9,No,Black,Male,41.9005865,-87.8567277
285,Navistar International,"Melrose Park, Illinois",2/5/2001,6,4,9,No,Black American or African American,Male,41.90289602,-87.8643021
286,Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,7,0,7,Yes,White,Male,42.506484,-71.0728306
287,Edgewater Technology,"Wakefield, Boston, Massachusetts",12/26/2000,7,0,7,No,Unknown,Male,42.30904091,-71.10271358
288,Hotel shooting,"Tampa, Florida",12/30/1999,5,3,8,Yes,Latino,Male,27.9477595,-82.458444
289,Radisson Bay Harbor Inn,"Tampa, Florida",12/30/1999,5,3,8,No,Unknown,Male,27.99601861,-82.44503769
290,Fort Gibson Middle School,"Fort Gibson, Oklahoma",12/6/1999,0,4,4,No,White American or European American,Male,35.77669911,-95.25996596
291,Xerox killings,"Honolulu, Hawaii",11/2/1999,7,0,7,Yes,Asian,Male,21.3255125,-157.8473055
292,Xerox Office Building,"Honolulu, Hawaii",11/2/1999,7,0,7,Yes,Asian American,Male,21.309106,-157.844998
293,Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/1999,8,7,15,Yes,White,Male,32.693397,-97.47067092
294,Wedgwood Baptist Church,"Fort Worth, Texas",9/15/1999,8,7,14,Yes,White American or European American,Male,32.74802142,-97.31305148
295,Atlanta day trading spree killings,"Atlanta, Georgia",7/29/1999,9,13,22,Yes,White,Male,33.7490987,-84.3901849
296,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",7/29/1999,10,12,21,Yes,White American or European American,Male,33.7629969,-84.4231328
297,Heritage High School,"Conyers, Georgia",5/20/1999,0,6,6,No,White American or European American,Male,33.66086267,-84.02688527
298,Columbine High School massacre,"Littleton, Colorado",4/20/1999,13,24,37,Yes,White,Male,39.6021065,-104.9877273
299,Columbine High School,"Littleton, Colorado",4/20/1999,15,24,37,Yes,White American or European American,Male,39.59358263,-105.0152112
300,Riverside City Hall,"Riverside, California",10/6/1998,0,6,6,No,Black American or African American,Male,33.93814348,-117.3948409
301,Thurston High School shooting,"Springfield, Oregon",5/21/1998,4,25,29,Yes,White,Male,44.0462362,-123.0220289
302,Thurston High School,"Springfield, Oregon",5/21/1998,4,25,29,Yes,White American or European American,Male,44.05489698,-123.0075562
303,Parker Middle School Dance,"Edinboro, Pennsylvania",4/24/1998,1,3,4,Yes,White American or European American,Male,41.87617136,-80.12459632
304,Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,5,10,15,No,White,Male,35.8209895,-90.6682606
305,Westside Middle School,"Jonesboro, Arkansas",3/24/1998,5,10,15,No,White American or European American,Male,35.82083155,-90.67950058
306,Connecticut Lottery shooting,"Newington, Connecticut",3/6/1998,5,1,6,Yes,White,Male,41.6856325,-72.72983827
307,Connecticut State Lottery Headquarters,"Newington, Connecticut",3/6/1998,5,0,4,Yes,White American or European American,Male,41.68700845,-72.73083927
308,Milwaukee Post Office,"Milwaukee, Wisconsin",12/19/1997,2,2,3,No,Black American or African American,Male,43.06420322,-87.96724385
309,Caltrans maintenance yard shooting,"Orange, California",12/18/1997,5,2,7,No,Latino,Male,33.7877944,-117.8531119
310,Caltrans Maintenance Yard,"Orange, California",12/18/1997,5,2,6,No,Unknown,Male,33.78935598,-117.820412
311,Heath High School,"West Paducah, Kentucky",12/1/1997,3,5,8,Yes,White American or European American,Male,37.08506,-88.74422
312,Pearl High School,"Pearl, Mississippi",10/1/1997,2,7,9,Yes,White American or European American,Male,32.27492783,-90.09470655
313,R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/1997,4,3,7,No,Black,Male,33.5598586,-81.721952
314,R.E. Phelon Company,"Aiken, South Carolina",9/15/1997,4,3,7,No,Black American or African American,Male,33.47524551,-81.72595949
315,Bethel Regional High School,"Bethel, Alaska",2/19/1997,2,2,4,Yes,White American or European American,Male,60.79053882,-161.7927517
316,San Diego State University,"San Diego, California",8/15/1996,3,0,3,No,White American or European American,Male,32.86357277,-117.1281628
317,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,6,1,7,Yes,Black,Male,26.1223084,-80.1433786
318,Fort Lauderdale City Parks Office,"Fort Lauderdale, Florida",2/9/1996,7,0,6,No,Black American or African American,Male,26.11737018,-80.14865708
319,Frontier Junior High School,"Moses Lake, Washington",2/2/1996,3,1,4,Yes,White American or European American,Male,47.12189424,-119.2750699
320,Richland High School,"Lynnville, Tennessee",11/15/1995,2,1,3,Yes,White American or European American,Male,35.37810374,-87.00610559
321,Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/1995,6,0,6,No,Unknown,Male,27.823713,-97.41739794
322,Walter Rossler Company,"Corpus Christi, Texas",4/3/1995,6,0,5,No,Unknown,Male,27.73907518,-97.43073352
323,Montclair Post Office,"Montclair, New Jersey",3/21/1995,4,1,5,No,White American or European American,Male,40.826184,-74.20862
324,Downtown Chapel Hill,"Chapel Hill, North Carolina",1/26/1995,2,2,4,Yes,White American or European American,Male,35.92681467,-79.03850407
325,Massachusetts Abortion Clinic,"Brookline, Massachusetts",12/30/1994,2,5,7,Yes,White American or European American,Male,42.32427392,-71.14080012
326,Wickliffe Middle School,"Wickliffe, Ohio",11/7/1994,1,3,4,Yes,White American or European American,Male,41.60713735,-81.46902046
327,Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/1994,5,23,28,Yes,White,Male,47.61864486,-117.6483587
328,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",6/20/1994,5,23,27,Yes,White American or European American,Male,47.618456,-117.644099
329,"Residence in Union, Kentucky","Union, Kentucky",5/26/1994,4,0,4,No,White American or European American,Male,38.95130818,-84.67066339
330,Chelsea High School,"Chelsea, Michigan",12/16/1993,1,2,3,Yes,White American or European American,Male,42.31319376,-84.01868108
331,Chuck E. Cheese's killings,"Aurora, Colorado",12/14/1993,4,1,5,Unclear,Black,Male,39.754713,-104.835869
332,Chuck E. Cheese in Aurora,"Aurora, Colorado",12/14/1993,4,1,5,Yes,Black American or African American,Male,39.69892933,-104.7871863
333,Long Island Rail Road massacre,"Garden City, New York",12/7/1993,6,19,25,Yes,Black,Male,40.7267682,-73.6342955
334,Long Island Rail Road Commuter Train,"Garden City, New York",12/7/1993,6,19,25,No,Black American or African American,Male,40.72662266,-73.644712
335,Central Middle School,"Sheridan, Wyoming",9/17/1993,1,4,4,No,White American or European American,Male,44.79051074,-106.9599165
